staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,CorrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.033953400095924735,,0.0175284999422729,0.033953400095924735,0.5150085999630392,0.5150085999630392,0.5150085999630392,0.8165748999454081,1.168982099974528,right,10.0,1,1,0.5258937999606133,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
1,1,8.0,1.1814131999853998,,1.1692379999440163,1.1814131999853998,1.6828237001318485,1.6828237001318485,1.6828237001318485,1.982960500055924,2.2663839000742882,left,-8.0,0,0,0.5684990000445396,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
2,1,9.0,2.282108100131154,,2.266570100095123,2.282108100131154,2.7660527999978513,2.7660527999978513,2.7660527999978513,3.0658442000858486,3.316881800070405,left,-9.0,1,1,0.5465205998625606,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
3,1,9.0,3.333026400068775,,3.31706769997254,3.333026400068775,3.816293500130996,3.816293500130996,3.816293500130996,4.116071800002828,4.1832014000974596,left,-9.0,1,1,0.3514655001927167,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
4,1,9.0,4.199114399962127,,4.18338040006347,4.199114399962127,4.682337400037795,4.682337400037795,4.682337400037795,4.982588600134477,5.200446200091392,right,9.0,1,1,0.510187900159508,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
5,1,8.0,5.216101200086996,,5.200682899914682,5.216101200086996,5.715559999924153,5.715559999924153,5.715559999924153,6.016038700006902,6.133951300056651,right,8.0,1,1,0.41192089999094605,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
6,1,8.0,6.149250700138509,,6.13413090002723,6.149250700138509,6.6488888000603765,6.6488888000603765,6.6488888000603765,6.9490167000330985,7.083808500086889,right,8.0,1,1,0.4289957000873983,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
7,1,8.0,7.099742399994284,,7.083986300043762,7.099742399994284,7.582330100005493,7.582330100005493,7.582330100005493,7.882776400074363,7.983192400075495,left,-8.0,1,1,0.38779549999162555,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
8,1,7.0,7.999322599964216,,7.9833760999608785,7.999322599964216,8.482673099962994,8.482673099962994,8.482673099962994,8.782274400116876,8.90038160001859,left,-7.0,1,1,0.4161753000225872,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
9,1,7.0,8.915899600135162,,8.90055950009264,8.915899600135162,9.415765200043097,9.415765200043097,9.415765200043097,9.715901999967173,9.917105700122193,right,7.0,1,1,0.4964394001290202,Ashish,001,2024-09-11_22h51.35.404,Adaptive Staircase Procedure,2024.2.1post4,59.66426908803034,2024-09-11 22h51.55.295149 +0530,
