42.6049 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000023E8B23CC10>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000023E8B23CC70>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000023E8B23C0A0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000023E898733A0>, multiSample=False, name='window1', numSamples=2, pos=[460.0, 140.0], screen=0, size=array([1000,  800]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
42.6050 	EXP 	window1: backgroundImage = ''
42.6050 	EXP 	window1: backgroundFit = 'none'
42.6054 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000023E8B23CAF0>
42.6057 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000023E8B23CAF0>
42.6296 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000023E8B23CAF0>
42.6313 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000023E8B23CAF0>
42.7006 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000023E8B23CAF0>
42.7009 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000023E8B23CAF0>
42.7032 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000023E8B23CAF0>
42.7055 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000023E8B23CAF0>
42.7335 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
42.7336 	EXP 	window1: recordFrameIntervals = False
42.9387 	EXP 	window1: recordFrameIntervals = True
43.0377 	WARNING 	t of last frame was 30.12ms (=1/33)
43.2057 	EXP 	Screen (0) actual frame rate measured at 59.66Hz
43.2057 	EXP 	window1: recordFrameIntervals = False
43.2058 	EXP 	window1: mouseVisible = True
43.3244 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
48.6718 	EXP 	Adaptive Staircase Procedure: status = STARTED
48.6727 	EXP 	window1: mouseVisible = True
48.6969 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
48.6971 	EXP 	window1: mouseVisible = True
48.7033 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([8., 8.]), size=array([0.3, 0.3]), tex='sin', texRes=128.0, units='height', win=Window(...))
0.0167 	WARNING 	Increasing number of minimum required reversals to the number of step sizes, (4).
0.0340 	EXP 	grating: ori = 10.0
0.0340 	EXP 	fixation: autoDraw = True
0.5150 	EXP 	fixation: autoDraw = False
0.5150 	EXP 	grating: autoDraw = True
0.5150 	EXP 	grating: tex = 'sin'
0.8166 	EXP 	grating: autoDraw = False
1.1704 	DATA 	Keypress: right
1.1814 	EXP 	fixation: autoDraw = False
1.1814 	EXP 	grating: autoDraw = False
1.1814 	EXP 	grating: ori = -8.0
1.1814 	EXP 	fixation: autoDraw = True
1.6828 	EXP 	fixation: autoDraw = False
1.6828 	EXP 	grating: autoDraw = True
1.9830 	EXP 	grating: autoDraw = False
2.2675 	DATA 	Keypress: right
2.2821 	EXP 	fixation: autoDraw = False
2.2821 	EXP 	grating: autoDraw = False
2.2821 	EXP 	grating: ori = -9.0
2.2821 	EXP 	fixation: autoDraw = True
2.7661 	EXP 	fixation: autoDraw = False
2.7661 	EXP 	grating: autoDraw = True
3.0658 	EXP 	grating: autoDraw = False
3.3181 	DATA 	Keypress: left
3.3330 	EXP 	fixation: autoDraw = False
3.3330 	EXP 	grating: autoDraw = False
3.3330 	EXP 	grating: ori = -9.0
3.3330 	EXP 	fixation: autoDraw = True
3.8163 	EXP 	fixation: autoDraw = False
3.8163 	EXP 	grating: autoDraw = True
4.1161 	EXP 	grating: autoDraw = False
4.1843 	DATA 	Keypress: left
4.1991 	EXP 	fixation: autoDraw = False
4.1991 	EXP 	grating: autoDraw = False
4.1991 	EXP 	grating: ori = 9.0
4.1991 	EXP 	fixation: autoDraw = True
4.6823 	EXP 	fixation: autoDraw = False
4.6823 	EXP 	grating: autoDraw = True
4.9826 	EXP 	grating: autoDraw = False
5.2017 	DATA 	Keypress: right
5.2161 	EXP 	fixation: autoDraw = False
5.2161 	EXP 	grating: autoDraw = False
5.2161 	EXP 	grating: ori = 8.0
5.2161 	EXP 	fixation: autoDraw = True
5.7156 	EXP 	fixation: autoDraw = False
5.7156 	EXP 	grating: autoDraw = True
6.0160 	EXP 	grating: autoDraw = False
6.1351 	DATA 	Keypress: right
6.1493 	EXP 	fixation: autoDraw = False
6.1493 	EXP 	grating: autoDraw = False
6.1493 	EXP 	grating: ori = 8.0
6.1493 	EXP 	fixation: autoDraw = True
6.6489 	EXP 	fixation: autoDraw = False
